id,SalePrice
1461,117497.33
1462,159706.78
1463,187004.4
1464,188239.52
1465,191789.08
1466,174548.33
1467,176130.06
1468,173273.75
1469,187953.62
1470,127560.48
1471,187210.3
1472,95742.125
1473,97745.14
1474,152987.88
1475,122943.26
1476,354954.72
1477,248135.56
1478,300120.8
1479,194276.42
1480,528304.94
1481,296018.4
1482,209522.33
1483,169489.97
1484,168946.25
1485,156309.53
1486,180272.25
1487,299393.25
1488,239438.66
1489,203307.64
1490,207404.17
1491,188270.6
1492,97996.72
1493,202460.56
1494,278399.3
1495,302368.03
1496,205025.95
1497,193189.92
1498,160418.31
1499,149672.9
1500,142788.75
1501,173469.98
1502,147986.9
1503,281240.2
1504,217904.27
1505,224964.92
1506,192792.03
1507,248100.34
1508,204855.6
1509,168429.64
1510,145662.94
1511,143736.92
1512,188401.58
1513,169809.64
1514,173909.5
1515,177914.25
1516,154411.22
1517,165416.17
1518,132028.53
1519,213674.56
1520,134240.58
1521,138160.94
1522,156572.61
1523,108118.89
1524,118652.8
1525,115476.29
1526,116226.484
1527,103261.18
1528,128282.016
1529,138699.95
1530,182864.38
1531,95638.96
1532,101794.445
1533,135545.34
1534,122654.79
1535,150904.62
1536,101883.91
1537,58979.605
1538,173848.1
1539,200096.3
1540,137548.86
1541,147492.64
1542,140302.94
1543,213540.22
1544,87351.01
1545,93928.7
1546,136858.34
1547,151150.62
1548,135156.12
1549,124917.7
1550,147144.28
1551,97337.66
1552,145966.75
1553,150181.03
1554,113869.625
1555,179909.08
1556,74943.516
1557,118261.59
1558,90520.914
1559,111461.93
1560,118714.58
1561,143933.98
1562,122964.484
1563,126789.13
1564,160230.72
1565,149678.08
1566,208970.14
1567,78097.13
1568,224980.44
1569,142721.8
1570,141993.08
1571,132368.39
1572,147003.86
1573,226020.2
1574,96784.03
1575,204490.58
1576,236329.06
1577,196305.72
1578,159028.64
1579,137927.33
1580,196449.88
1581,154609.8
1582,128391.74
1583,320910.47
1584,219201.64
1585,139969.56
1586,62415.766
1587,92512.26
1588,154614.47
1589,102206.234
1590,130167.67
1591,90811.72
1592,121812.49
1593,122362.48
1594,148232.02
1595,112886.26
1596,244775.0
1597,160126.67
1598,182069.64
1599,146168.56
1600,157259.2
1601,74623.05
1602,130928.914
1603,95778.7
1604,273199.97
1605,227770.25
1606,161498.52
1607,150017.84
1608,209216.66
1609,196690.22
1610,165677.12
1611,139037.58
1612,157864.67
1613,144174.64
1614,120568.95
1615,79877.62
1616,71107.85
1617,84851.87
1618,129117.305
1619,123762.26
1620,150163.7
1621,130693.84
1622,133268.69
1623,317467.38
1624,211418.78
1625,113042.484
1626,169228.56
1627,180785.05
1628,287569.47
1629,182073.12
1630,373763.97
1631,226527.73
1632,260274.9
1633,168644.08
1634,187241.86
1635,187903.94
1636,158881.95
1637,178340.86
1638,210792.97
1639,182179.73
1640,245692.94
1641,171068.22
1642,244393.8
1643,202682.4
1644,219563.23
1645,193991.06
1646,151664.67
1647,162460.44
1648,138445.25
1649,138615.94
1650,118044.555
1651,121562.03
1652,95080.67
1653,93043.51
1654,149892.14
1655,146266.3
1656,151454.06
1657,152324.62
1658,147389.39
1659,143345.9
1660,156833.05
1661,472647.44
1662,455700.03
1663,346988.84
1664,394008.94
1665,299707.22
1666,287042.16
1667,336502.22
1668,327012.75
1669,306586.75
1670,329135.44
1671,264688.6
1672,477449.5
1673,284413.0
1674,240732.28
1675,192221.48
1676,191628.03
1677,213179.66
1678,453849.7
1679,396890.4
1680,350653.6
1681,239160.3
1682,275131.84
1683,172316.86
1684,168096.8
1685,177498.12
1686,164400.42
1687,148012.95
1688,183256.48
1689,189083.0
1690,182251.9
1691,185053.39
1692,235142.38
1693,163051.56
1694,185988.8
1695,159984.19
1696,257097.4
1697,179166.03
1698,386159.5
1699,326768.72
1700,250102.0
1701,251356.4
1702,265707.97
1703,243151.39
1704,309110.7
1705,210803.75
1706,494281.06
1707,218027.8
1708,196899.56
1709,271766.56
1710,201562.0
1711,246924.23
1712,197197.23
1713,275900.16
1714,206146.16
1715,208094.38
1716,179298.17
1717,155741.1
1718,133169.44
1719,185441.28
1720,241571.47
1721,161099.92
1722,126458.53
1723,152355.7
1724,214177.7
1725,238123.78
1726,200281.77
1727,169782.83
1728,175405.1
1729,172398.23
1730,160453.38
1731,118201.24
1732,134534.12
1733,120355.07
1734,111144.99
1735,131705.72
1736,116233.555
1737,363761.3
1738,200447.44
1739,303530.66
1740,204846.67
1741,187090.73
1742,171877.64
1743,173813.97
1744,305594.03
1745,236433.08
1746,251688.0
1747,221672.8
1748,233012.12
1749,155371.77
1750,128048.69
1751,238655.92
1752,119302.625
1753,148673.69
1754,213038.83
1755,159740.86
1756,132168.22
1757,116065.36
1758,159294.11
1759,163616.52
1760,153823.27
1761,140119.94
1762,166162.95
1763,163391.33
1764,111927.81
1765,147359.86
1766,175806.78
1767,191210.77
1768,135709.3
1769,164214.05
1770,142628.38
1771,129499.45
1772,122230.55
1773,160238.14
1774,123934.69
1775,131099.5
1776,117835.47
1777,123400.09
1778,131286.19
1779,108800.94
1780,163065.73
1781,132990.92
1782,91110.22
1783,126660.82
1784,106116.25
1785,120195.305
1786,141841.56
1787,181105.12
1788,63828.047
1789,90765.234
1790,84993.234
1791,160393.7
1792,163501.88
1793,110600.33
1794,144036.42
1795,131835.9
1796,117827.234
1797,114981.66
1798,130826.03
1799,121441.9
1800,130988.78
1801,120758.8
1802,137489.88
1803,160944.86
1804,149399.0
1805,134731.86
1806,118867.6
1807,126076.266
1808,113032.09
1809,117071.39
1810,162789.64
1811,110984.32
1812,101593.516
1813,125501.74
1814,94091.92
1815,62949.04
1816,101530.836
1817,138582.55
1818,129322.01
1819,114976.414
1820,65727.19
1821,99985.984
1822,153161.39
1823,44284.793
1824,141870.22
1825,127265.414
1826,92967.74
1827,106492.36
1828,135408.47
1829,90108.01
1830,134612.61
1831,169138.72
1832,80154.95
1833,129028.3
1834,119069.0
1835,130367.74
1836,111080.29
1837,95738.43
1838,121691.375
1839,81399.87
1840,174490.34
1841,145870.11
1842,72104.46
1843,129841.72
1844,132397.36
1845,144029.25
1846,142474.56
1847,163398.92
1848,65631.36
