SalePrice,id
106830.32,1461
243945.36,1462
213803.84,1463
220076.73,1464
149547.11,1465
199422.9,1466
211521.88,1467
187855.75,1468
200383.25,1469
144076.69,1470
221110.3,1471
104787.42,1472
110681.93,1473
196149.11,1474
106278.484,1475
253049.03,1476
210265.34,1477
237883.2,1478
229123.47,1479
323569.84,1480
277822.4,1481
191548.83,1482
167490.64,1483
162364.7,1484
183465.08,1485
204068.58,1486
249457.39,1487
228838.61,1488
183509.77,1489
199204.5,1490
180532.56,1491
93880.164,1492
162413.77,1493
209632.31,1494
273045.47,1495
224827.73,1496
186010.4,1497
165518.39,1498
170712.81,1499
178403.27,1500
175375.11,1501
151921.81,1502
236790.62,1503
239332.34,1504
242217.83,1505
202701.77,1506
264457.2,1507
212245.81,1508
177163.88,1509
184108.73,1510
153958.44,1511
169299.98,1512
147316.3,1513
138664.69,1514
237606.27,1515
145318.23,1516
193467.4,1517
121804.05,1518
221176.11,1519
126114.96,1520
132405.66,1521
188968.55,1522
105802.59,1523
106109.445,1524
107741.375,1525
108210.39,1526
138717.94,1527
157175.94,1528
144628.75,1529
159059.56,1530
142188.36,1531
100131.92,1532
109444.086,1533
123254.68,1534
174785.73,1535
99330.53,1536
134875.88,1537
152670.16,1538
196954.1,1539
34955.234,1540
163904.98,1541
159789.34,1542
187368.7,1543
97974.66,1544
87931.69,1545
172173.73,1546
128371.805,1547
128747.38,1548
137325.66,1549
171003.89,1550
130244.12,1551
156918.05,1552
124854.25,1553
110205.28,1554
191045.67,1555
71231.984,1556
98553.21,1557
80710.164,1558
70570.23,1559
117880.766,1560
101043.75,1561
119884.36,1562
124361.266,1563
226895.69,1564
176540.3,1565
261925.69,1566
99539.16,1567
248452.05,1568
135269.58,1569
129887.48,1570
132290.48,1571
176015.27,1572
218152.4,1573
161799.33,1574
213202.84,1575
268964.72,1576
167380.28,1577
161342.55,1578
157123.23,1579
196574.28,1580
145464.27,1581
143727.19,1582
285534.4,1583
233669.61,1584
134414.16,1585
75562.85,1586
81435.734,1587
149911.6,1588
91098.76,1589
157627.45,1590
83017.3,1591
156866.02,1592
110651.51,1593
87397.055,1594
105907.586,1595
202524.23,1596
151986.75,1597
177159.97,1598
176051.4,1599
183565.8,1600
58212.34,1601
95511.8,1602
90174.18,1603
218980.19,1604
238687.33,1605
208979.47,1606
168310.38,1607
223456.56,1608
156922.4,1609
157607.73,1610
155547.03,1611
180227.16,1612
212943.33,1613
136117.31,1614
109163.95,1615
85084.914,1616
118430.336,1617
137574.9,1618
119147.75,1619
185608.5,1620
149861.8,1621
135308.7,1622
235972.02,1623
251342.62,1624
108274.05,1625
214777.88,1626
215630.53,1627
251142.88,1628
187685.78,1629
262837.34,1630
192869.44,1631
200511.72,1632
177703.94,1633
215159.92,1634
198869.39,1635
181745.05,1636
209917.47,1637
224168.44,1638
215353.62,1639
248409.61,1640
199505.22,1641
225215.78,1642
219667.84,1643
209818.55,1644
173218.25,1645
191050.53,1646
184708.45,1647
147949.7,1648
151046.16,1649
163552.7,1650
169834.53,1651
110497.695,1652
97540.15,1653
190122.75,1654
135969.47,1655
187700.33,1656
190499.83,1657
192005.38,1658
121162.43,1659
212423.27,1660
339434.1,1661
288974.53,1662
282804.4,1663
341105.44,1664
254109.61,1665
292430.47,1666
293487.12,1667
260726.86,1668
238441.34,1669
264744.66,1670
250476.55,1671
291368.38,1672
261527.73,1673
248817.19,1674
208079.47,1675
212125.8,1676
212810.83,1677
320562.56,1678
289732.7,1679
249818.03,1680
203390.45,1681
260064.73,1682
199215.25,1683
187320.0,1684
193303.19,1685
186510.52,1686
182685.52,1687
208019.4,1688
212621.9,1689
198764.92,1690
196877.1,1691
242719.22,1692
141045.12,1693
203972.05,1694
168451.66,1695
270293.62,1696
176856.53,1697
307810.9,1698
203538.03,1699
231001.95,1700
247216.38,1701
232256.2,1702
247885.8,1703
257575.72,1704
216578.67,1705
311252.62,1706
193805.8,1707
201878.16,1708
249211.47,1709
207945.77,1710
243767.81,1711
219485.38,1712
259827.03,1713
202961.81,1714
194468.98,1715
190016.55,1716
181662.73,1717
130185.414,1718
185212.03,1719
177969.27,1720
187179.88,1721
124012.91,1722
184907.36,1723
200846.69,1724
234442.7,1725
159012.69,1726
167887.1,1727
155376.92,1728
173295.42,1729
144779.67,1730
94054.125,1731
172810.97,1732
117114.42,1733
139054.64,1734
143337.31,1735
81798.62,1736
288932.75,1737
236548.34,1738
278171.53,1739
235729.89,1740
207007.06,1741
182561.0,1742
184088.61,1743
257213.75,1744
172127.22,1745
204873.11,1746
244407.33,1747
236723.95,1748
199833.92,1749
149724.48,1750
246353.88,1751
108154.234,1752
179128.75,1753
195083.27,1754
191615.1,1755
137791.61,1756
115777.28,1757
188418.06,1758
187418.12,1759
176998.45,1760
206903.8,1761
188923.58,1762
185633.95,1763
93499.62,1764
172850.25,1765
175869.81,1766
227927.28,1767
150406.03,1768
186966.08,1769
165099.62,1770
114507.49,1771
125008.07,1772
134274.56,1773
129459.38,1774
121852.54,1775
86085.26,1776
103755.03,1777
144493.89,1778
97504.016,1779
185511.47,1780
127208.37,1781
106397.44,1782
180051.33,1783
85236.87,1784
99534.74,1785
146639.61,1786
181576.73,1787
60912.996,1788
113315.23,1789
109516.74,1790
196088.05,1791
135063.47,1792
148228.6,1793
159925.33,1794
123599.516,1795
96031.055,1796
119833.37,1797
111061.2,1798
102121.92,1799
105935.54,1800
179358.27,1801
171110.88,1802
159666.84,1803
161360.56,1804
147177.8,1805
133962.64,1806
76042.23,1807
152334.88,1808
98461.86,1809
140610.53,1810
37746.105,1811
72623.12,1812
136205.7,1813
99318.22,1814
48224.895,1815
76975.71,1816
128618.664,1817
141950.72,1818
163423.52,1819
64157.145,1820
101582.49,1821
159550.78,1822
31673.953,1823
143707.75,1824
167209.03,1825
85527.61,1826
113784.72,1827
147141.22,1828
177766.33,1829
140866.66,1830
148872.14,1831
41129.332,1832
129066.48,1833
116991.26,1834
159345.73,1835
129597.07,1836
50191.09,1837
89654.11,1838
113649.4,1839
176490.05,1840
